Genotype,DH_Dharwad,DH_IARI-DELHI,DH_IARI-Jharkhand,DH_KARNAL,DH_Pooled,GFD_Dharwad,GFD_IARI-Delhi,GFD_IARI-Jharkhand,GFD_Karnal,GFD_Pooled,GNPS_Dharwad,GNPS_IARI-Jharkhand,GNPS_Pooled,GWPS_Dharwad,GWPS_IARI-Delhi,GWPS_IARI-Jharkhand,GWPS_Karnal,GWPS_Ludhiana,GWPS_Pooled,PH_Dharwad,PH_IARI-Delhi,PH_IARI-Jharkhand,PH_Karnal,PH_Ludhiana,PH_Pooled,GY_Dharwad,GY_IARI-Delhi,GY_IARI-JKD,GY_Karnal,GY_Ludhiana,GY_Pooled
HS680,59.731,90.696,85.459,98.732,83.393,44.283,44.827,28.321,43.512,43.375,44.713,44.867,44.844,2.066,2.105,2.236,2.821,2.558,2.351,73.292,102.275,98.417,113.054,103.774,98.663,525.029,479.313,259.143,523.223,673.846,489.543
HS681,58.903,90.696,84.485,94.328,81.692,44.283,44.827,29.42,41.338,43.375,39.478,37.991,38.714,2.039,2.266,2.292,2.742,2.121,2.291,70.53,108.678,93.663,107.703,106.211,97.702,242.046,370.542,250.285,484.758,561.361,374.716
HUW838,62.216,101.022,90.327,98.732,88.012,44.283,44.827,32.72,44.236,43.614,48.881,58.62,53.966,2.075,2.114,2.853,2.843,2.672,2.562,73.292,100.445,97.624,115.73,106.211,99.239,371.988,493.501,247.064,662.884,700.418,509.619
HUW839,58.075,94.451,85.459,91.686,81.935,44.283,44.827,33.269,39.889,42.659,51.014,66.155,58.889,2.304,1.934,2.629,3.298,1.903,2.473,82.496,103.189,103.963,115.73,110.273,104.235,280.547,498.23,287.327,603.706,516.19,444.325
HUW840,63.873,97.267,89.353,97.852,87.039,44.283,44.827,29.42,35.542,41.225,55.57,38.368,46.919,1.966,1.772,1.987,2.98,2.501,2.221,71.451,103.189,92.87,98.785,101.337,93.475,221.833,450.938,240.622,507.837,659.675,412.616
HUW841,59.731,103.839,96.168,104.898,91.172,44.283,44.827,29.043,43.633,43.853,49.766,45.988,48.674,2.1,1.857,2.351,3.115,2.068,2.349,66.004,103.379,95.896,109.398,104.942,95.293,268.368,513.718,290.487,558.141,569.92,440.167
HUW843,62.014,90.896,87.445,94.275,83.391,44.283,44.827,33.269,47.859,45.286,35.213,43.36,39.342,1.6,1.475,1.937,3.088,2.121,2.028,69.61,99.53,99.209,113.946,107.023,98.471,391.238,441.48,238.206,492.451,559.59,417.119
JAUW672,55.59,87.88,83.512,88.162,78.045,44.283,44.827,29.043,40.735,42.897,47.342,63.414,56.397,2.045,2.666,2.943,2.92,1.422,2.501,74.288,111.612,103.027,120.1,112.254,104.516,384.834,329.281,258.277,504.881,414.035,368.869
JAUW683,59.53,100.284,89.392,96.918,86.308,44.283,44.827,31.243,45.082,44.331,33.868,37.228,36.27,1.661,2.189,2.04,3.303,1.555,2.187,81.652,100.634,95.896,116.533,107.38,100.097,267.405,371.843,209.962,451.621,440.606,331.907
JKW261,55.388,92.774,87.445,90.752,80.961,44.283,44.827,30.52,41.338,42.897,47.524,56.83,52.373,2.02,1.952,2.498,2.525,2.235,2.251,74.212,99.53,100.794,111.271,103.774,98.471,224.721,427.292,263.169,604.297,596.79,431.003
JKW270,62.216,100.084,85.459,96.09,85.824,44.283,44.827,29.42,42.787,43.614,65.07,62.764,64.15,2.898,2.284,2.803,3.608,1.922,2.794,70.53,108.678,99.209,112.162,87.527,95.589,273.81,498.23,280.079,616.725,509.99,444.137
JKW275,60.559,95.39,84.485,95.209,83.636,44.283,44.827,29.97,42.787,43.136,49.657,61.634,55.896,2.715,2.374,2.436,3.204,1.713,2.527,75.133,97.701,100.794,109.487,104.586,98.086,220.871,323.25,253.506,462.862,455.076,332.5
JKW278,62.216,92.574,87.406,94.328,83.879,44.283,44.827,31.07,42.787,43.136,53.631,63.989,59.082,2.322,2.015,2.753,2.807,2.482,2.516,68.689,99.53,100.794,109.487,103.774,96.934,225.683,488.771,255.117,546.303,648.161,434.006
K1006,60.559,97.267,80.591,95.209,83.15,44.283,44.827,29.42,36.267,41.225,51.595,57.678,54.835,1.902,1.889,2.348,3.045,1.979,2.253,68.689,103.189,90.493,105.028,101.337,93.667,259.372,408.376,249.48,601.93,525.047,414.868
K1317,62.216,104.777,96.168,104.018,91.901,44.283,44.827,29.97,36.991,41.225,41.126,55.794,48.657,1.81,2.671,2.429,2.908,1.912,2.369,74.212,108.678,96.04,115.73,104.586,100.392,235.309,384.73,252.701,579.443,577.304,410.177
K1901,60.559,102.9,96.168,104.018,90.929,44.283,44.827,33.269,43.512,43.853,59.932,64.271,62.364,2.194,1.367,2.597,2.944,1.609,2.182,67.769,94.042,92.078,104.136,98.087,90.977,213.17,469.855,235.791,522.04,439.133,371.339
K1903,63.044,95.39,87.406,93.447,84.609,44.283,44.827,28.871,41.338,43.136,53.534,51.084,52.421,2.432,1.466,2.348,3.168,1.666,2.244,86.178,108.678,103.171,112.162,109.46,105.003,382.575,351.626,244.648,614.949,437.362,412.053
K1904,58.903,96.329,85.459,96.971,84.122,44.283,44.827,28.493,44.358,44.092,50.154,59.552,55.817,2.182,1.164,2.556,3.072,1.726,2.209,78.89,105.208,106.197,114.749,96.819,100.097,203.878,575.198,259.082,552.224,483.12,412.211
K1905,57.045,92.774,85.498,93.394,81.69,44.283,44.827,28.871,44.961,44.092,56.927,50.048,53.58,3.016,1.394,2.429,3.615,1.941,2.534,82.496,113.252,103.963,119.297,111.897,107.501,479.791,521.876,222.907,627.969,573.761,492.732
K1907,61.388,93.512,85.459,92.567,82.907,44.283,44.827,28.321,44.236,43.614,45.294,46.186,45.809,1.929,2.392,2.199,2.677,2.377,2.3,82.496,101.36,93.663,110.379,103.774,98.663,397.976,439.588,268.001,466.412,621.589,429.878
K1908,56.418,90.696,89.353,91.686,81.449,44.283,44.827,36.569,44.236,44.092,30.075,41.194,35.673,1.728,1.376,2.566,2.829,2.283,2.182,80.655,107.763,108.717,111.271,102.149,103.082,224.721,441.48,251.09,480.023,596.79,391.602
KRL1803,53.933,91.635,78.644,91.686,78.288,44.283,44.827,31.62,43.512,43.375,65.749,47.787,56.813,2.633,1.619,2.635,2.756,1.789,2.318,76.973,101.36,98.417,110.379,104.586,98.855,549.093,597.542,307.458,624.418,472.79,518.437
KRL1808,58.075,91.635,86.432,92.567,81.692,44.283,44.827,35.469,35.542,40.031,22.514,40.911,31.764,0.741,1.898,2.429,2.453,1.381,1.785,69.61,104.104,96.832,114.838,111.085,100.008,209.32,474.584,258.338,593.645,467.476,405.486
KRL1810,62.216,101.961,94.221,105.779,91.172,44.283,44.827,35.469,35.542,40.27,26.876,40.252,33.598,1.024,0.162,2.218,3.002,1.514,1.593,69.61,110.507,96.832,108.595,100.524,97.51,215.095,469.855,251.09,545.711,502.904,396.293
LOK77,70.499,103.839,93.247,104.898,93.603,44.283,44.827,33.269,35.542,40.747,45.779,58.337,52.277,1.828,1.089,2.529,2.518,2.197,2.039,70.53,103.189,96.832,111.271,105.398,97.894,256.484,479.313,283.3,541.569,578.19,428.377
MACS6222,61.388,104.777,90.327,104.898,90.442,41.424,44.772,31.595,39.071,40.267,56.408,51.352,54.487,2.18,1.977,2.376,2.991,2.118,2.405,72.669,100.041,94.553,108.45,104.132,95.316,336.758,478.345,258.114,559.546,532.408,437.051
MACS6478,63.495,100.761,85.759,102.13,88.132,44.283,44.827,26.671,41.338,42.659,55.279,55.794,55.703,2.541,2.437,2.535,2.814,2.349,2.558,71.451,90.383,85.739,104.136,98.9,89.632,556.793,465.126,275.248,584.769,613.618,503.427
MACS6747,61.388,97.267,88.379,96.09,85.581,44.283,44.827,37.118,44.236,44.092,44.616,49.012,46.919,2.304,2.797,2.467,3.067,1.741,2.511,70.53,102.275,103.963,110.379,104.586,99.047,274.772,356.355,239.012,594.829,463.933,389.913
MACS6749,55.59,90.696,80.591,93.447,79.504,44.283,44.827,35.641,44.358,44.092,42.205,65.204,54.756,1.999,1.614,2.706,3.223,1.906,2.38,73.368,95.146,85.596,105.831,101.693,91.066,472.424,400.218,278.408,651.051,527.406,475.066
